sample	CHUG	LE17	RCA23	HTCC2083	HTCC2150	HTCC2255	SB2	HIMB11	depth	latitude	salinity	temperature	oxygen	nitrate	nitrite	nitrate/nitrite	phosphate	silicate	Density	fCDOM	Chlorophyll a	TC
ERR599046	0.000604527	7.98E-05	1.63E-03	0.000223561	0.000328497	0.000800713	3.49E-04	3.79E-04	120	30.1484	36.27746	19.32335	216.6547	0.085111	0.053	0.104	0	0.319	25.920365	1.943116	0.16855	0.0064
ERR599047	0.002440865	5.17E-05	1.18E-03	0.000187505	0.000210255	0.000455736	8.73E-05	5.91E-05	640	34.6663	35.36729	10.6855	137.3344	21.943329	0	20.025	1.3135	13.2415	27.13082	2.690263	0.007712	
ERR599048	0.000555307	7.84E-05	1.26E-03	0.000225159	0.000266902	0.000723544	1.99E-04	1.64E-04	800	8.7986	34.476312	4.641719	143.273625	37.560305	0.007	36.98	2.618	34.44	27.30785	3.226745	0	0
ERR599049	0.000647541	0.000143255	0.00206345	0.00030098	0.000452917	0.000933328	6.35E-04	7.60E-03	5	21.9467	38.9435	27.3097	183.589125	0.253501	0.003	0.006	0.04575	1.12025	25.59125	1.2825	0.150568	0.007
ERR599050	0.000618046	0.000396712	0.00299335	0.000433725	0.000473223	0.001204047	4.77E-03	1.19E-03	5	32.7971	34.682538	21.121575	219.015	0	0.001	0.029	0.2425	0.103	24.219275	1.669572	0.147303	0.0013
ERR599051	0.000535455	4.93E-05	9.52E-04	0.000243742	0.000171138	0.000457665	6.22E-05	1.30E-04	450	6.3559	34.608919	8.149894	1.013313	36.753654	0.0078	36.219	3.155	52.9225	26.951444	3.439414	0	0.0018
ERR599052	0.000585996	0.001179147	0.002984449	0.000544683	0.00042813	0.001218152	3.34E-01	6.64E-04	5	35.3671	33.07013	19.24802	223.159	0	0.002	0.011	0.2925	1.95475	23.48431	1.791365	0.140785	0.00805
ERR599053	0.000315973	4.41E-05	1.30E-03	0.000167831	0.000249403	0.000630383	2.65E-04	3.20E-04	60	14.5536	36.503531	27.374181	164.440063	0	0.2375	7.847	0.846	3.5765	23.734719	1.377813	0.166581	0.01485
ERR599054	0.000460748	5.68E-05	2.04E-03	0.000266076	0.0003389	0.000801779	3.16E-04	4.31E-04	5	0.0033	35.0481	30.59345	186.0215	1.826529					21.558975	0.915	0.058503	
ERR599055	0.002174025	3.29E-05	1.17E-03	0.000455958	0.000190374	0.000385449	5.41E-05	5.41E-05	480	5.261	34.692094	9.137438	5.148	40.112735	0.014	39.1775	2.853	40.579	26.863531	3.478053	0	0
ERR599056	0.000303018	0.000101006	0.001604874	0.000306759	0.000278702	0.00081366	5.65E-04	3.76E-04	50	31.027	35.68407	16.74878	231.9774	0.904785	0.285	1.08	0.227	2.436	26.101325	2.011787	0.325714	0.0183
ERR599057	0.000343325	5.39E-05	1.92E-03	0.000238283	0.000363064	0.000792044	3.32E-04	1.51E-03	5	15.3424	35.0302	27.296125	193.165	2.149334	0.016042	0	0	2.812112	22.646025	0.90125	0.098701	
ERR599058	0.000456999	7.96E-05	2.23E-03	0.000325554	0.000441874	0.000881588	4.45E-04	7.25E-03	5	17.0248	35.124517	26.553475	194.060917						22.953567	0.931875	0.140592	
ERR599059	0.000845618	0.001948917	0.030252818	0.002300481	0.002024822	0.010570225	3.12E-03	6.16E-04	5	60.2287	33.7198	1.9034	338.526	24.903191	0.266	25.3	1.723	16.55	26.9578	2.105012	0.207979	
ERR599060	0.000487425	5.32E-05	8.92E-04	0.000216489	0.000208711	0.000455017	5.57E-05	1.45E-04	450	6.3559	34.608919	8.149894	1.013313	36.753654	0.0078	36.219	3.155	52.9225	26.951444	3.439414	0	0.0018
ERR599061	0.000390024	9.15E-05	1.54E-03	0.000220881	0.000272619	0.000766119	4.46E-04	3.04E-04	80	23.4183	40.187042	26.12925	181.501	0.47262	0.01		0.025	0.85	26.917092	1.2725	0.1566	0.0082
ERR599062	0.000461656	3.66E-05	8.33E-04	0.000159804	0.000125357	0.000401641	9.48E-05	1.76E-04	600	20.8457	35.672725	11.984006	2.81625	31.290804					27.130513	2.6925	0.008026	0
ERR599063	0.000672483	9.77E-05	2.55E-03	0.000321815	0.000441664	0.001000956	0.001941989	1.70E-03	5	13.0023	35.82876	25.349495	201.0109	5.005302	0.137	6.1625	0.67725	1.15025	23.86109	1.77889	0.227673	0.0066
ERR599064	0.000420496	0.001355951	0.005225312	0.000798743	0.000372269	0.054091747	1.14E-01	6.18E-04	5	34.0614	34.31598	18.122955	243.0408	0	0.03975	0.2115	0.52125	0.1445	24.71804	2.590248	0.361109	0.0218
ERR599065	0.000675963	0.000109798	0.002488938	0.000358016	0.000359056	0.000901284	1.22E-03	1.43E-03	30	2.0299	34.475915	26.019185	199.8303	4.369042	0.111	4.638	0.50475	3.225	22.63355	2.048813	0.329704	0.013
ERR599066	0.000593287	0.00010159	0.00237315	0.000334571	0.000457834	0.00087774	6.87E-04	1.05E-03	5	8.9111	35.42651	26.80604	187.3321	5.460123	0.1945	3.7335	0.55725	1.80475	23.10143	1.645425	0.178072	0.0029
ERR599067	0.001934111	3.82E-05	1.54E-03	0.000322641	0.000270602	0.000631405	7.46E-05	8.67E-05	380	2.0649	34.791419	11.142362	2.264562	33.049074					26.595869	3.300821	0	
ERR599068	0.000328082	0.000131566	0.001805282	0.000306432	0.000241481	0.001993471	2.73E-03	7.66E-04	5	34.9449	35.3233	15.013362	239.93725	2.426286	0.3025	3.34	0.343	2.7435	26.2141	1.258125	0.221666	0.0302
ERR599069	0.000694552	8.61E-05	2.42E-03	0.000280651	0.000505879	0.000779455	8.11E-04	2.09E-03	5	9.1504	35.384031	26.572419	190.378187	4.965553	0.1665	6.2015	0.63025	2.53325	23.143631	1.628674	0.261381	0.01184
ERR599070	0.000425166	6.89E-05	1.34E-03	0.000265441	0.00029302	0.000450446	7.01E-05	1.56E-04	40	14.2075	34.366025	20.58574	123.201	7.312792	0.3055	6.0475	0.884	4.661	24.14088	2.394612	0.366719	0.0228
ERR599071	0.000675974	4.12E-05	9.73E-04	0.000151072	0.000155092	0.000428094	7.60E-05	3.65E-05	488	25.8076	34.3655	7.96837	154.6701	24.271551	0	27.2885	2.023	12.05	26.78725	2.58324	0	0
ERR599072	0.007968139	3.50E-05	1.17E-03	0.000188822	0.000202602	0.000411535	9.01E-05	5.77E-05	696	23.2232	34.306075	5.749106	200.470625	28.329562					27.043012	2.439793	0	0
ERR599073	0.00060389	0.000207186	0.002103979	0.000305157	0.000417584	0.001018262	4.12E-02	3.93E-04	60	35.7528	37.84945	18.30575	238.694625		0.0263	0.038	0.0131	0.58135	27.375	1.375	0.076875	0.0118
ERR599074	0.000422181	6.25E-05	1.79E-03	0.000234257	0.000335023	0.000838206	3.34E-04	4.63E-04	5	14.6059	36.0499	29.151544	187.306625	0	0.007	0.057	0.1565	1.3865	22.799819	0.965625	0.092377	0.001
ERR599075	0.000376178	5.95E-05	1.85E-03	0.000277358	0.000372872	0.000883504	3.13E-04	5.79E-04	5	6.0001	34.56775	30.12785	188.79575	0	0.001	0.022	0.0765	2.171	21.358942	0.966875	0.080016	0.00085
ERR599076	0.000480548	6.91E-05	9.78E-04	0.000251981	0.000181739	0.000380202	6.02E-05	2.15E-04	375	14.2025	34.5882	8.887131	0.832313	35.049476	0.0093	34.551	2.9545	46.6245	26.820475	3.389521	0	0
ERR599077	0.00053972	8.74E-05	2.22E-03	0.000279707	0.000360326	0.000809888	1.63E-03	1.07E-03	5	16.9601	35.98269	22.78183	209.1003	3.149999	0.0415	2.676	0.5	1.0325	24.742485	1.775215	0.154999	0.0027
ERR599078	0.000465691	0.000180793	0.002444008	0.00161222	0.000375467	0.001069839	3.86E-03	6.56E-04	5	43.6792	35.99167	14.31675	242.8405	3.209219	0.3105	2.159	0.1595	1.236	26.88634	1.931107	0.191493	
ERR599079	0.000286413	4.17E-05	1.64E-03	0.000171014	0.000442829	0.000793198	2.02E-04	9.87E-05	188	25.826	35.86191	20.2127	208.821	0					25.37245	1.795236	0.115489	
ERR599080	0.000727206	9.32E-05	2.44E-03	0.000304918	0.000473107	0.000901445	9.05E-04	2.19E-03	5	9.1504	35.384031	26.572419	190.378187	4.965553	0.1665	6.2015	0.63025	2.53325	23.143631	1.628674	0.261381	0.01184
ERR599081	0.000608866	9.91E-05	2.27E-03	0.000258592	0.000494459	0.000973637	6.66E-04	5.36E-04	50	12.9723	35.64227	22.596675	216.67805	4.229206	0.1635	5.6545	0.7785	1.8815	24.5284	2.070398	0.258187	0.0096
ERR599082	0.000353373	5.49E-05	1.58E-03	0.000294364	0.00031539	0.000664693	4.06E-04	6.93E-04	25	19.0284	36.549506	25.607735	189.0233	0.672791	0.7	1.858	0.417	1.625	24.3126	1.61475	0.185922	0.0262
ERR599083	0.000989301	3.66E-05	1.23E-03	0.000216029	0.000222676	0.000468616	2.06E-04	1.54E-04	600	8.9729	34.5789	7.133995	40.6107	41.697487					27.07634	3.112808	0	
ERR599084	0.00049987	7.09E-05	1.97E-03	0.000290622	0.000345259	0.000886978	6.53E-04	3.00E-03	120	9.0714	35.907345	24.81397	172.42475	4.148328	0.3535	1.19925	0.4885	1.469	24.092785	1.908626	0.077051	0.00185
ERR599085	0.0006601	3.59E-05	9.60E-04	0.000165415	0.000152931	0.000422901	7.96E-05	3.59E-05	488	25.8076	34.3655	7.96837	154.6701	24.271551	0	27.2885	2.023	12.05	26.78725	2.58324	0	0
ERR599086	0.001094412	4.20E-05	1.17E-03	0.000199011	0.000182549	0.000419774	4.14E-05	5.91E-05	350	16.9486	34.7072	10.69894	4.7047	29.923223					26.609085	3.306498	0.015423	0
ERR599087	0.000273773	6.09E-05	1.50E-03	0.000171536	0.00030143	0.000596335	1.66E-04	1.44E-04	60	6.3378	34.664045	17.291965	41.52515	25.65001	0.464	12.904	1.108	8.073	25.194555	2.388755	0.219944	0.0132
ERR599088	0.001282182	5.12E-05	1.74E-03	0.000190103	0.00036133	0.000636372	2.93E-04	6.82E-04	5	29.5019	35.32467	22.2414	210.2395	0	0.004	0	0.084	1.7665	24.39702	1.057375	0.136664	0.0103
ERR599089	0.000544077	0.000100409	0.002010516	0.000262698	0.000422652	0.000844136	6.70E-04	3.13E-03	120	9.0714	35.907345	24.81397	172.42475	4.148328	0.3535	1.19925	0.4885	1.469	24.092785	1.908626	0.077051	0.00185
ERR599090	0.00037069	0.000520422	0.00957591	0.000855115	0.000812991	0.002635424	7.16E-04	1.89E-04	5	62.0385	34.327465	0.73159	344.81235	29.73383	0.1055	28.64	2.1055	80.55	27.52175	2.220386	0.276495	0.02675
ERR599091	0.000561313	0.000102302	0.002245251	0.000344595	0.000489971	0.000928791	7.20E-04	9.36E-04	5	8.9111	35.42651	26.80604	187.3321	5.460123	0.1945	3.7335	0.55725	1.80475	23.10143	1.645425	0.178072	0.0029
ERR599092	0.000616816	0.000192162	0.002074807	0.000294174	0.000322981	0.000900484	3.88E-02	3.11E-04	60	35.7528	37.84945	18.30575	238.694625		0.0263	0.038	0.0131	0.58135	27.375	1.375	0.076875	0.0118
ERR599093	0.000422495	0.000205171	0.002388418	0.00030025	0.000510425	0.001278207	2.17E-02	2.42E-04	5	25.8051	36.40163	25.18103	200.40835	0	0.000563	0.05125	0.1815	0.385875	24.346275	1.457396	0.060509	
ERR599094	0.000723025	0.000352069	0.00190538	0.000315722	0.000312871	0.000823158	4.89E-02	2.31E-04	50	39.3991	38.489083	15.181967	229.908917		0.1055	0.3595		1.354	28.626442	1.845	0.134028	
ERR599095	0.000733867	0.000250491	0.002470005	0.00041697	0.000400291	0.001347893	6.62E-02	7.70E-04	40	36.5533	36.5811	16.3584							26.8866		0.535777	
ERR599096	0.00110494	4.35E-05	1.21E-03	0.000243888	0.000200378	0.000447701	1.73E-04	1.87E-04	600	8.9729	34.5789	7.133995	40.6107	41.697487					27.07634	3.112808	0	
ERR599097	0.000393018	6.78E-05	1.44E-03	0.000195427	0.000284487	0.000671015	4.76E-04	3.11E-04	80	23.4183	40.187042	26.12925	181.501	0.47262	0.01		0.025	0.85	26.917092	1.2725	0.1566	0.0082
ERR599098	0.000540419	7.04E-05	2.08E-03	0.00022454	0.000361548	0.000882938	5.61E-04	7.17E-04	5	16.957	34.54545	27.956483	191.628083	0.532471	0	0	0.119	2.666	22.067625	0.977083	0.134305	0.0022
ERR599099	0.000388782	6.75E-05	1.29E-03	0.00029273	0.00029616	0.00043109	7.32E-05	1.53E-04	40	14.2075	34.366025	20.58574	123.201	7.312792	0.3055	6.0475	0.884	4.661	24.14088	2.394612	0.366719	0.0228
ERR599100	0.001608161	5.69E-05	1.77E-03	0.000218263	0.000462459	0.00078085	2.74E-04	3.36E-04	125	25.6168	36.17927	24.961605	193.38225	0	0.0175	0.0615		1.168	24.25287	1.681699	0.114913	0.0189
ERR599101	0.000484455	5.67E-05	1.42E-03	0.000220035	0.000335246	0.000762725	4.06E-04	4.19E-04	120	30.1484	36.27746	19.32335	216.6547	0.085111	0.053	0.104	0	0.319	25.920365	1.943116	0.16855	0.0064
ERR599102	0.00036453	7.55E-05	1.55E-03	0.000241049	0.000294251	0.000669947	7.97E-04	1.45E-02	5	19.0393	36.618044	26.313595	187.7395	0.632675	0.107	0.4195	0.337	1.278	24.148331	1.331	0.113641	0.00775
ERR599103	0.000320748	0.00010504	0.001431176	0.000348884	0.00029824	0.000752165	5.53E-04	3.85E-04	50	31.027	35.68407	16.74878	231.9774	0.904785	0.285	1.08	0.227	2.436	26.101325	2.011787	0.325714	0.0183
ERR599104	0.000451584	0.000467522	0.009022819	0.000704825	0.000632217	0.001554865	4.94E-04	9.21E-05	90	62.2231	34.36258	-0.792395	326.6803	32.911358	0.06	31	2.309	81.82	27.6286	2.471241	0.289537	
ERR599105	0.000264284	5.75E-05	1.21E-03	0.000274133	0.000213397	0.00056304	2.63E-04	3.58E-04	5	8.7789	36.41678	25.064425	199.135	0.416799	0.003	0.018	0.104	0.868	24.393095	1.77348	0.104143	0.0018
ERR599106	0.000469786	7.44E-05	2.29E-03	0.000261884	0.000408509	0.000884131	7.28E-04	5.69E-04	5	27.16	39.96035	25.0281	189.91675	0	0.00925	0.036	0.01225	0.8825	27.086225	1.054375	0.112855	0.00475
ERR599107	0.000759767	0.000123645	0.001973441	0.000313994	0.000283082	0.001792854	2.49E-03	7.24E-04	30	34.8901	35.32305	15.014	239.791063	2.739389	0.284	3.309875	0.34975	2.5895	26.21755	1.2525	0.221666	0.0296
ERR599108	0.00072426	8.94E-05	2.34E-03	0.000350793	0.000372134	0.000904324	1.25E-03	1.43E-03	30	2.0299	34.475915	26.019185	199.8303	4.369042	0.111	4.638	0.50475	3.225	22.63355	2.048813	0.329704	0.013
ERR599109	0.000439734	5.33E-05	1.42E-03	0.000267986	0.000164345	0.000423448	7.85E-05	2.00E-04	340	19.0351	36.014205	14.901445	2.9502	22.18992	0.691	23.43	2.639	38.94	26.787485	2.791	0.002565	0
ERR599110	0.000816778	8.59E-05	2.15E-03	0.000307571	0.00054259	0.001074052	5.64E-04	1.89E-03	30	35.2421	35.451512	21.72823	207.48285						24.64465	1.20625	0.177651	
ERR599111	0.000559583	6.17E-05	1.11E-03	0.000136596	0.000209844	0.000447732	1.14E-04	1.08E-04	60	18.4417	38.895025	27.558763	175.509	0	0.269	0.635	0.0885	1.3525	25.47435	1.42	0.14795	0.0312
ERR599112	0.001311988	6.74E-05	1.32E-03	0.000256897	0.000167739	0.000472086	1.51E-04	3.13E-04	1000	15.3379	34.8293	6.195775	88.88975						27.4047	2.2275	0	
ERR599113	0.000630693	9.52E-05	2.29E-03	0.000315346	0.000444448	0.000982018	6.73E-04	6.37E-04	50	12.9723	35.64227	22.596675	216.67805	4.229206	0.1635	5.6545	0.7785	1.8815	24.5284	2.070398	0.258187	0.0096
ERR599114	0.000547571	9.66E-05	2.30E-03	0.000351627	0.000472414	0.000940802	7.52E-04	8.51E-04	5	8.9111	35.42651	26.80604	187.3321	5.460123	0.1945	3.7335	0.55725	1.80475	23.10143	1.645425	0.178072	0.0029
ERR599115	0.000715336	5.46E-05	1.13E-03	0.001170622	0.000745867	0.000762739	1.57E-03	5.92E-05	650	35.2698	34.333562	4.918875	9.46475	43.553981					27.162231	3.758179	0	0
ERR599116	0.000222719	6.22E-05	1.34E-03	0.000188651	0.00023081	0.000568934	2.68E-04	2.43E-04	5	23.36	39.7709	25.811708	188.341917	0.279747	0.01075	0	0.00875	0.8775	26.698217	1.11375	0.085486	0.00435
ERR599117	0.000555922	6.96E-05	1.62E-03	0.000228132	0.000367413	0.000719216	1.37E-04	4.45E-04	150	8.9109	35.877315	21.97372	158.18405	5.004597	1.46875	5.44175	0.6607	1.18375	24.895825	1.955839	0	0.000925
ERR599118	0.000693695	9.87E-05	2.38E-03	0.000383424	0.000391713	0.000958921	1.06E-03	1.42E-03	5	1.9928	33.472445	27.497475	199.6911	1.673601	0.0455	0.8935	0.2865	1.7085	21.408655	1.900753	0.272009	0.004
ERR599119	0.000556619	0.000109477	0.002370248	0.000332389	0.000526282	0.000914069	7.15E-04	1.04E-03	5	8.9111	35.42651	26.80604	187.3321	5.460123	0.1945	3.7335	0.55725	1.80475	23.10143	1.645425	0.178072	0.0029
ERR599120	0.000464533	0.000232896	0.002409529	0.000336125	0.000553915	0.001057473	2.35E-02	2.74E-04	5	25.8051	36.40163	25.18103	200.40835	0	0.000563	0.05125	0.1815	0.385875	24.346275	1.457396	0.060509	
ERR599121	0.000529195	0.000436379	0.009104245	0.000700797	0.000700077	0.001560604	5.01E-04	1.21E-04	90	62.2231	34.36258	-0.792395	326.6803	32.911358	0.06	31	2.309	81.82	27.6286	2.471241	0.289537	
ERR599122	0.000616156	0.003961295	0.027106784	0.004691428	0.001722243	1.909554426	2.31E-03	3.89E-04	40	47.2007	34.05055	7.154875	306.1555	18.047311	0.1185	18.525	1.356	2.661	26.649733	2.133364	0.507313	
ERR599123	0.000411771	8.07E-05	2.00E-03	0.000284642	0.000525977	0.000826335	4.86E-04	3.96E-04	5	31.6948	36.596745	20.481195	213.6889	1.009924	0.093	0.1505	0.0015	0.728	25.85157	1.674064	0.120903	
ERR599124	0.000892375	3.51E-05	1.16E-03	0.000254964	0.00020508	0.000594917	1.53E-04	9.79E-05	800	30.1471	34.355	5.823213	215.95475	28.704078					27.076125	2.597631	0	0
ERR599125	0.005526758	4.25E-05	1.18E-03	0.00020807	0.000180732	0.000425252	6.38E-05	5.47E-05	790	61.9689	34.6802	0.456763	203.7715	38.920763	0.018	36.37	2.614	83.35	27.8267	3.420786	0	
ERR599126	0.0003739	8.69E-05	1.15E-03	0.000203417	0.000228602	0.000454621	1.64E-03	3.08E-04	5	20.9354	37.076575	23.374825	206.23185	0.185971	0.001404	0	0.055883	0.814172	25.40018	1.636802	0.055113	0.0019
ERR599127	0.000442915	6.90E-05	1.03E-03	0.000225909	0.000217006	0.000395062	6.57E-05	2.06E-04	375	14.2025	34.5882	8.887131	0.832313	35.049476	0.0093	34.551	2.9545	46.6245	26.820475	3.389521	0	0
ERR599128	0.002102541	3.89E-05	1.17E-03	0.00038747	0.000194342	0.000420265	4.25E-05	6.92E-05	480	5.261	34.692094	9.137438	5.148	40.112735	0.014	39.1775	2.853	40.579	26.863531	3.478053	0	0
ERR599129	0.000384408	0.00013355	0.001629673	0.000622633	0.000337485	0.001432957	1.20E-03	3.57E-04	5	31.0266	35.686585	16.8632	234.4763	1.103865	0.201	0.939	0.1455	1.9865	26.07437	1.951133	0.309005	0.01515
ERR599130	0.000272803	4.91E-05	1.26E-03	0.000163004	0.000251114	0.000599149	1.75E-04	2.43E-04	80	5.9998	35.044342	27.9561	137.998083	0	0.152	0.741	0.2505	2.7335	22.474092	1.42	0.228999	0.0036
ERR599131	0.003880414	6.59E-05	1.23E-03	0.000338736	0.000173132	0.00112724	6.15E-04	3.20E-05	700	31.0198	34.50494	7.32145	194.4342	24.232124	0.003	22.08	1.529	12.08	26.992205	2.777603	0	0.0021
ERR599132	0.002186416	4.96E-05	1.21E-03	0.000418694	0.000217314	0.000455872	5.44E-05	7.75E-05	480	5.261	34.692094	9.137438	5.148	40.112735	0.014	39.1775	2.853	40.579	26.863531	3.478053	0	0
ERR599133	0.000397702	7.98E-05	1.74E-03	0.000195799	0.000396685	0.000780655	2.13E-04	2.19E-04	100	8.7296	36.588225	23.630095	190.5966	1.049606	0.011	0.044	0.143	1.284	24.96531	2.171779	0.242586	0.0086
ERR599134	0.000717181	0.000152004	0.002129434	0.000333026	0.000473975	0.001030862	7.27E-04	8.33E-03	5	21.9467	38.9435	27.3097	183.589125	0.253501	0.003	0.006	0.04575	1.12025	25.59125	1.2825	0.150568	0.007
ERR599135	0.000461789	6.45E-05	1.17E-03	0.000299727	0.000256162	0.000496641	4.06E-04	5.16E-04	5	20.4091	36.35839	19.77001	215.2007	1.763081	0.0465	0.8015	0.309	1.1485	25.859525	2.071928	0.117466	0.0103
ERR599136	0.00096851	8.10E-05	1.99E-03	0.000254814	0.000558576	0.000842543	2.83E-04	3.96E-04	5	25.5264	36.177285	24.98456	195.54125	0	0.0195	0.049	0.003	1.218	24.236425	1.604851	0.123459	0.018
ERR599137	0.00040364	6.69E-05	1.69E-03	0.000199473	0.000398947	0.000823708	2.10E-04	2.43E-04	100	8.7296	36.588225	23.630095	190.5966	1.049606	0.011	0.044	0.143	1.284	24.96531	2.171779	0.242586	0.0086
ERR599138	0.000499869	6.52E-05	2.22E-03	0.000312789	0.000463698	0.001066743	3.88E-04	3.91E-04	5	9.3921	34.184183	29.818108	187.35	0	0.0055	0.07475	0.0825	2.22425	21.176983	0.84	0.077086	7.00E-04
ERR599139	0.000498825	6.74E-05	1.97E-03	0.000234087	0.000337153	0.000828905	5.12E-04	6.80E-04	5	16.957	34.54545	27.956483	191.628083	0.532471	0	0	0.119	2.666	22.067625	0.977083	0.134305	0.0022
ERR599140	0.000560412	0.000205254	0.002121723	0.000375914	0.00041512	0.001095455	4.56E-02	4.13E-04	5	35.759	37.89575	21.48665	208.245		0.01833	0.118	0.0256	0.5571	26.565263	1.091875	0.013344	0.0103
ERR599141	0.000387178	6.01E-05	1.87E-03	0.000277566	0.000396018	0.000871592	3.29E-04	4.84E-04	5	6.0001	34.56775	30.12785	188.79575	0	0.001	0.022	0.0765	2.171	21.358942	0.966875	0.080016	0.00085
ERR599142	0.000478287	9.23E-05	2.23E-03	0.000274783	0.000389448	0.000777173	3.28E-03	3.35E-04	5	31.5213	35.19025	25.164595	197.7245	0	0.002	0.01	0.0062	2.4278	23.434915	1.397096	0.101563	0.0024
ERR599143	0.000917331	0.000174797	0.002166492	0.000328988	0.00033041	0.000888198	3.31E-03	3.80E-02	5	20.8183	36.525962	25.681369	209.807083	1.545287	0.0455	0.1415	0.3575	1.143	24.284594	1.374375	0.205491	0.0169
ERR599144	0.000979336	0.042934271	0.129402605	0.026397755	0.002349299	1.508209817	1.45E+00	1.05E-03	5	32.2401	34.870735	13.04322	252.63145	1.264607					26.28407	4.093218	0.765222	2.1997
ERR599145	0.000406083	6.69E-05	1.59E-03	0.000225119	0.000291684	0.000573668	5.73E-04	1.12E-03	25	18.5839	36.40162	26.692435	187.47615	0	0.011	0.0675	0.2465	1.2415	23.87718	1.43775	0.196803	0.00545
ERR599146	0.000293087	6.46E-05	1.70E-03	0.000229785	0.000358921	0.000696319	3.11E-04	1.05E-03	5	35.1728	35.449638	21.76357	207.5812						24.629613	1.197	0.176479	
ERR599147	0.000420775	6.42E-05	1.29E-03	0.000251089	0.00030039	0.000439119	6.08E-05	1.42E-04	40	14.2075	34.366025	20.58574	123.201	7.312792	0.3055	6.0475	0.884	4.661	24.14088	2.394612	0.366719	0.0228
ERR599148	0.000519573	5.04E-05	8.61E-04	0.000151469	0.000160627	0.000353662	2.36E-04	1.28E-04	150	21.0292	36.61951	21.16596	200.32465	0.218613	0.047654	0	0.051522	0.712116	25.68731	1.931379	0.103558	0.00245
ERR599149	0.006012324	0.000118082	0.0017358	0.000425094	0.000316852	0.000641577	9.45E-05	7.48E-05	800	20.4075	34.446963	4.188237	161.92525	36.675625	0.01	36.73	2.522	44.86	27.333325	3.251941	0	
ERR599150	0.000383274	6.50E-05	1.81E-03	0.000241423	0.000375018	0.000658972	2.77E-04	7.62E-04	5	29.5019	35.32467	22.2414	210.2395	0	0.004	0	0.084	1.7665	24.39702	1.057375	0.136664	0.0103
ERR599151	0.000649194	9.81E-05	2.30E-03	0.000282206	0.000449349	0.000763046	8.09E-04	2.22E-03	5	9.1504	35.384031	26.572419	190.378187	4.965553	0.1665	6.2015	0.63025	2.53325	23.143631	1.628674	0.261381	0.01184
ERR599152	0.000508219	7.78E-05	1.03E-03	0.000271346	0.000224639	0.000394787	7.12E-05	1.83E-04	375	14.2025	34.5882	8.887131	0.832313	35.049476	0.0093	34.551	2.9545	46.6245	26.820475	3.389521	0	0
ERR599153	0.00091633	0.000375831	0.002020576	0.000346772	0.000308026	0.000838839	5.10E-02	2.32E-04	50	39.3991	38.489083	15.181967	229.908917		0.1055	0.3595		1.354	28.626442	1.845	0.134028	
ERR599154	0.001215171	6.86E-05	1.00E-03	0.000300936	0.000184752	0.000479974	9.33E-05	8.00E-05	800	20.9315	34.369569	4.664275	191.413187	33.940795					27.220344	2.821232	0	0
ERR599155	0.000198963	8.81E-05	1.34E-03	0.000184751	0.000230229	0.000534358	0.000284233	2.07E-04	5	23.36	39.7709	25.811708	188.341917	0.279747	0.01075	0	0.00875	0.8775	26.698217	1.11375	0.085486	0.00435
ERR599156	0.000593415	4.86E-05	1.43E-03	0.000170099	0.000305406	0.000559589	7.06E-05	4.99E-05	140	8.8999	36.28145	23.681605	160.81445	3.583718	0.05475	3.47525	0.566	1.24575	24.715135	1.897657	0	4.00E-04
ERR599157	0.000574947	5.57E-05	1.51E-03	0.000237241	0.000361914	0.000660887	9.80E-05	5.05E-04	150	8.9109	35.877315	21.97372	158.18405	5.004597	1.46875	5.44175	0.6607	1.18375	24.895825	1.955839	0	0.000925
ERR599158	0.000375946	0.00011082	0.001667911	0.000237071	0.000329654	0.000778546	8.88E-04	1.47E-02	5	19.0393	36.618044	26.313595	187.7395	0.632675	0.107	0.4195	0.337	1.278	24.148331	1.331	0.113641	0.00775
ERR599159	0.000892076	5.10E-05	1.25E-03	0.000228323	0.000181139	0.000542782	1.33E-04	9.12E-05	800	30.1471	34.355	5.823213	215.95475	28.704078					27.076125	2.597631	0	0
ERR599160	0.000541621	8.36E-05	1.55E-03	0.000287291	0.000339684	0.000613097	6.86E-04	3.70E-02	5	8.9068	35.3551	26.586685	189.6701	4.805128	0.14425	4.9015	0.53495	2.2205	23.11712	1.63837	0.181215	0.0092
ERR599161	0.000594422	8.19E-05	1.94E-03	0.000243227	0.000397468	0.000802055	6.48E-04	3.11E-03	120	9.0714	35.907345	24.81397	172.42475	4.148328	0.3535	1.19925	0.4885	1.469	24.092785	1.908626	0.077051	0.00185
ERR599162	0.00046962	0.000102321	0.001808814	0.00028426	0.000357035	0.000692922	5.27E-04	2.12E-03	5	7.4122	28.922675	26.555663	205.411	0	0.0043	0.00275	0.09345	0.63375	18.28625	1.782691	0.182274	0.04365
ERR599163	0.000657628	0.000109834	0.002587314	0.000338695	0.000369485	0.000929227	1.94E-03	1.62E-03	5	13.0023	35.82876	25.349495	201.0109	5.005302	0.137	6.1625	0.67725	1.15025	23.86109	1.77889	0.227673	0.0066
ERR599164	0.00158882	3.32E-05	1.18E-03	0.000161883	0.000153986	0.000461168	5.92E-05	5.29E-05	1000	29.5046	34.572658	7.552017	190.888667						27.0189	1.5975	0	
ERR599165	0.000420452	5.06E-05	1.12E-03	0.000297411	0.000267972	0.000438569	4.18E-04	5.25E-04	5	20.4091	36.35839	19.77001	215.2007	1.763081	0.0465	0.8015	0.309	1.1485	25.859525	2.071928	0.117466	0.0103
